0.069 1.314 1.314 1.314 1.006 0.999 1.763 54.181 54.181 54.181 26.638 25.514 20.380 46.018 46.018 46.018 16.822 16.822 16.822
0.060 1.212 1.212 1.212 1.063 1.063 1.063 36.229 36.229 36.229 172.178 40.842 17.631 25.408 25.408 25.408 161.257 25.432 4.118
0.063 1.192 1.192 1.192 0.980 0.980 0.980 58.438 58.438 58.438 35.167 28.959 23.597 32.092 32.092 32.092 18.701 18.701 18.701
0.068 1.190 1.190 1.190 1.159 1.159 1.159 21.938 21.938 21.938 15.081 7.656 6.887 13.140 13.140 13.140 4.477 4.477 4.477
0.058 0.951 0.951 0.951 0.829 0.829 0.829 27.573 27.573 27.573 44.064 13.362 11.056 21.630 21.630 21.630 40.568 10.730 8.963
0.068 1.054 1.054 1.054 1.018 1.018 1.018 40.680 40.680 40.680 28.154 4.739 5.216 19.540 19.540 19.540 24.626 -1.321 3.218
0.058 1.052 1.052 1.052 1.144 1.144 1.144 61.989 61.989 61.989 48.789 48.789 48.789 38.249 38.249 38.249 41.147 41.147 41.147
0.065 1.282 1.282 1.282 1.010 1.010 1.010 73.515 46.475 41.902 23.940 23.940 23.940 17.565 17.565 17.565 6.698 6.698 6.698
0.030 0.852 0.852 0.852 0.841 0.841 0.841 30.107 30.107 30.107 18.050 18.050 18.050 11.171 11.171 11.171 4.540 4.540 4.540
0.059 1.004 1.004 1.004 0.962 0.962 0.962 86.626 86.626 86.626 47.999 47.999 47.999 58.450 58.450 58.450 40.712 40.712 40.712
0.021 1.130 1.130 1.130 0.859 0.859 0.859 73.151 73.151 73.151 37.647 37.647 37.647 65.326 65.326 65.326 28.965 28.965 28.965
0.087 0.940 0.940 0.940 0.674 0.674 0.674 57.253 57.253 57.253 37.167 37.167 37.167 27.820 27.820 27.820 29.852 29.852 29.852
0.084 0.989 0.989 0.989 0.879 0.879 0.879 44.874 44.874 44.874 25.647 25.647 25.647 24.465 24.465 24.465 15.228 15.228 15.228
0.024 1.329 1.329 1.329 1.301 1.301 1.301 21.471 21.471 21.471 44.166 44.166 44.166 -13.892 -13.892 -13.892 24.431 24.431 24.431
0.071 1.310 1.310 1.310 1.156 1.156 1.156 81.059 81.059 81.059 50.048 50.048 50.048 61.722 61.722 61.722 28.102 28.102 28.102
0.072 0.987 0.987 0.987 0.682 0.682 0.682 3.409 7.554 17.172 17.638 17.638 17.638 -7.242 -7.242 -7.242 5.740 5.740 5.740
0.018 1.125 1.125 1.125 0.876 0.876 0.876 33.346 33.346 33.346 22.876 22.876 22.876 16.716 16.716 16.716 14.446 14.446 14.446
